# Simulated MCMC Chain Data for UAT Framework (H0, k_early, omega_b, log_likelihood)
H0	k_early	omega_b	log_likelihood
7.294940e+01	9.639838e-01	2.236250e-02	-1.450012e+03
7.290890e+01	9.688282e-01	2.271187e-02	-1.449425e+03
7.299072e+01	9.518625e-01	2.242108e-02	-1.448719e+03
7.308042e+01	9.733872e-01	2.242688e-02	-1.450785e+03
7.353839e+01	9.710664e-01	2.234732e-02	-1.451511e+03
7.386987e+01	9.618088e-01	2.243337e-02	-1.449983e+03
7.227331e+01	9.602911e-01	2.223408e-02	-1.448198e+03
7.286762e+01	9.426966e-01	2.250844e-02	-1.449890e+03
7.229102e+01	9.546285e-01	2.248523e-02	-1.449489e+03
7.314814e+01	9.761198e-01	2.246730e-02	-1.450016e+03
7.404533e+01	9.492131e-01	2.244146e-02	-1.450394e+03
7.257827e+01	9.574992e-01	2.249760e-02	-1.449969e+03
7.206425e+01	9.574160e-01	2.272367e-02	-1.451318e+03
7.299608e+01	9.693385e-01	2.234123e-02	-1.449454e+03
7.292961e+01	9.555529e-01	2.251513e-02	-1.449498e+03
7.330603e+01	9.618619e-01	2.233240e-02	-1.448718e+03
7.275077e+01	9.596272e-01	2.233596e-02	-1.450322e+03
7.515822e+01	9.447863e-01	2.240130e-02	-1.453069e+03
7.398328e+01	9.670563e-01	2.250493e-02	-1.450949e+03
7.325639e+01	9.627181e-01	2.234416e-02	-1.451625e+03
7.310766e+01	9.697576e-01	2.244663e-02	-1.449826e+03
7.294562e+01	9.732688e-01	2.246227e-02	-1.448776e+03
7.305145e+01	9.806464e-01	2.243469e-02	-1.448616e+03
7.072401e+01	9.714897e-01	2.217866e-02	-1.450041e+03
7.218135e+01	9.803830e-01	2.240571e-02	-1.451370e+03
7.406126e+01	9.566096e-01	2.240750e-02	-1.451110e+03
7.334091e+01	9.541249e-01	2.263514e-02	-1.450649e+03
7.441652e+01	9.594642e-01	2.252783e-02	-1.450285e+03
7.375613e+01	9.598816e-01	2.224873e-02	-1.448287e+03
7.353009e+01	9.711293e-01	2.255997e-02	-1.448963e+03
7.309454e+01	9.655429e-01	2.264622e-02	-1.448214e+03
7.359958e+01	9.699032e-01	2.223608e-02	-1.450393e+03
7.297594e+01	9.682424e-01	2.234886e-02	-1.450841e+03
7.249108e+01	9.629329e-01	2.257171e-02	-1.451763e+03
